region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
EUR,IBS,HG01673,HG01673,0.0102,0.0409,-0.0205,-0.0241,0.0019,-0.0031,0.0006,-0.0025,-0.0057,0.0091,0.0043,0.0146,-0.0107,-0.0188,0.0108
EUR,IBS,HG01675,HG01675,0.0097,0.0411,-0.0186,-0.023,0.0023,-0.0186,-0.0392,-0.0089,0.0006,0.0021,-0.0016,0.0105,-0.0027,-0.0169,0.0065
EUR,IBS,HG01676,HG01676,0.0105,0.0418,-0.0183,-0.0273,-0.0031,-0.0089,-0.0234,0.0052,-0.0033,0.0103,-0.0169,-0.0082,-0.013,0.0024,0.0053
EUR,IBS,HG01678,HG01678,0.0093,0.0405,-0.0201,-0.0207,0.0021,-0.0058,-0.0331,0.0085,0.0208,-0.0038,-0.0278,0.0166,-0.0155,-0.0104,-0.0061
EUR,IBS,HG01679,HG01679,0.0098,0.0419,-0.0185,-0.0225,0.0022,-0.0116,-0.0113,0.0206,-0.0028,-0.0096,-0.0133,0.0,0.0034,-0.0163,0.0215
EUR,IBS,HG01680,HG01680,0.0085,0.0409,-0.019,-0.0203,0.0008,-0.0093,-0.0183,0.0125,0.0134,0.0159,0.0075,0.0009,0.0132,0.0056,0.0058
EUR,IBS,HG01682,HG01682,0.0097,0.0422,-0.0186,-0.022,-0.0005,-0.0077,-0.0342,-0.0009,0.02,-0.0006,-0.0184,0.0278,-0.0259,-0.015,-0.0053
EUR,IBS,HG01684,HG01684,0.0101,0.0424,-0.0182,-0.0249,0.0025,-0.0171,-0.054,0.0003,0.0053,-0.0,0.0042,-0.0044,-0.0166,-0.0209,-0.0028
EUR,IBS,HG01685,HG01685,0.0089,0.0401,-0.0191,-0.017,0.0013,-0.0213,0.0001,-0.0094,0.0092,0.0207,-0.0077,0.0024,-0.0096,0.0145,0.015
EUR,IBS,HG01686,HG01686,0.0087,0.0416,-0.0179,-0.0206,0.0027,0.0086,-0.0256,0.0005,0.001,0.0026,-0.0289,0.0102,0.0193,-0.0048,0.01
EUR,IBS,HG01694,HG01694,0.0059,0.0389,-0.0193,-0.0201,-0.0001,-0.0223,-0.0286,0.0148,0.0099,-0.0061,-0.0053,0.0143,-0.0048,0.0111,-0.0047
EUR,IBS,HG01695,HG01695,0.0063,0.038,-0.0178,-0.0228,0.0019,-0.0291,-0.0165,0.0144,-0.009,-0.0111,-0.0068,0.014,-0.0078,-0.0092,0.0059
EUR,IBS,HG01697,HG01697,0.009,0.0399,-0.0182,-0.0153,0.0049,-0.0071,-0.0196,-0.0153,0.0051,-0.0235,0.0035,-0.0,-0.0389,-0.0236,0.0041
EUR,IBS,HG01699,HG01699,0.0084,0.04,-0.0195,-0.0202,0.0025,-0.0121,-0.0219,-0.0128,-0.0058,-0.0126,0.0061,0.0236,0.0137,-0.0106,-0.011
EUR,IBS,HG01700,HG01700,0.0103,0.0416,-0.0199,-0.0277,0.0023,-0.0053,-0.0473,-0.0001,-0.0031,-0.0055,-0.0187,0.0238,-0.0164,-0.0036,-0.0065
EUR,IBS,HG01702,HG01702,0.0115,0.0431,-0.0179,-0.0238,-0.0009,-0.0124,-0.017,-0.0009,0.0003,0.0033,0.0044,0.0128,-0.0192,-0.0143,-0.0101
EUR,IBS,HG01704,HG01704,0.008,0.0399,-0.0182,-0.023,-0.0001,-0.0076,-0.0082,-0.0015,0.0015,0.011,-0.0121,-0.0048,-0.0065,-0.0043,0.009
EUR,IBS,HG01705,HG01705,0.0085,0.0398,-0.0191,-0.0195,-0.0051,-0.0065,-0.0071,-0.0003,-0.0019,0.011,0.0046,0.0097,0.0068,-0.01,0.0144
EUR,IBS,HG01707,HG01707,0.0089,0.0402,-0.018,-0.0233,-0.01,-0.0186,0.009,0.026,0.0136,0.0314,0.0014,-0.0207,0.0087,0.0021,-0.0315
EUR,IBS,HG01708,HG01708,0.0096,0.0381,-0.0166,-0.0215,-0.0028,-0.0202,0.009,0.0077,0.003,0.0005,-0.0181,0.0106,-0.0045,-0.003,-0.0178
EUR,IBS,HG01709,HG01709,0.0079,0.0401,-0.0173,-0.018,0.0006,-0.0095,-0.0065,0.0032,0.0211,0.0134,-0.0004,0.0157,-0.0012,-0.0104,-0.0036
EUR,IBS,HG01710,HG01710,0.0089,0.0391,-0.0206,-0.0181,-0.0019,-0.0033,-0.0116,-0.0103,0.0152,0.0082,0.0186,-0.0017,0.0041,-0.015,-0.0005
EUR,IBS,HG01746,HG01746,0.0101,0.0411,-0.018,-0.0264,0.0064,-0.0093,-0.0375,-0.0041,0.0032,-0.0117,-0.0031,0.0134,-0.0118,-0.0109,-0.0265
EUR,IBS,HG01747,HG01747,0.0102,0.0415,-0.0203,-0.021,-0.003,0.0058,-0.0272,0.0137,0.0168,0.0085,-0.0066,0.0034,-0.0136,-0.0154,-0.0118
EUR,IBS,HG01756,HG01756,0.0099,0.0394,-0.0195,-0.0196,-0.0001,-0.0144,0.0062,0.0067,0.0057,-0.0275,-0.0006,0.013,0.0076,0.0011,-0.0012
EUR,IBS,HG01757,HG01757,0.0097,0.0405,-0.0196,-0.0192,0.0069,-0.0018,-0.0189,-0.0001,0.0055,-0.0007,-0.0268,-0.0093,-0.0232,-0.0086,-0.0044
